part_id,severity,total_issues,risk_score,avg_confidence,comment,trend_mismatch_detected,trend_mismatch_confidence,missing_seasonality_detected,missing_seasonality_confidence,volatility_mismatch_detected,volatility_mismatch_confidence,magnitude_mismatch_detected,magnitude_mismatch_confidence,historical_mean,historical_std,forecast_mean,forecast_std,data_points_historical,data_points_forecast
part_A,medium,3,1.823963316831734,0.6079877722772447,Trend Mismatch; Missing Seasonality; Volatility Mismatch,True,0.20743327037504924,True,1.0,True,0.6165300464566847,False,0,194.30555555555554,75.35660723498805,168.94444444444446,12.562653439377705,36,18
partB,none,1,0.036059554329207905,0.036059554329207905,Trend Mismatch,True,0.036059554329207905,False,0.0,False,0.0,False,0,497.8611111111111,133.909596962765,481.1111111111111,77.61434743721405,36,18
partC,none,0,0.0,0.0,No issues detected,False,0.0,False,0.0,False,0.0,False,0,166.97222222222223,39.684099810601445,173.22222222222223,32.592954048302694,36,18
