item_loc_id,FORECAST_MONTH,best_model_forecast,best_model,clean_qty,product_bu,local_price,location
partB,202508,406,ARIMA,,Rail,933.75,DALAVL
partB,202509,410,ARIMA,,Rail,933.75,DALAVL
partB,202510,575,ARIMA,,Rail,933.75,DALAVL
partB,202511,416,ARIMA,,Rail,933.75,DALAVL
partB,202512,420,ARIMA,,Rail,933.75,DALAVL
partB,202601,584,ARIMA,,Rail,933.75,DALAVL
partB,202602,425,ARIMA,,Rail,933.75,DALAVL
partB,202603,428,ARIMA,,Rail,933.75,DALAVL
partB,202604,592,ARIMA,,Rail,933.75,DALAVL
partB,202605,433,ARIMA,,Rail,933.75,DALAVL
partB,202606,435,ARIMA,,Rail,933.75,DALAVL
partB,202607,598,ARIMA,,Rail,933.75,DALAVL
partB,202608,439,ARIMA,,Rail,933.75,DALAVL
partB,202609,441,ARIMA,,Rail,933.75,DALAVL
partB,202610,604,ARIMA,,Rail,933.75,DALAVL
partB,202611,444,ARIMA,,Rail,933.75,DALAVL
partB,202612,446,ARIMA,,Rail,933.75,DALAVL
partC,202207,,AutoARIMA,189,PowerGen,3621.2,MCHAVL
partC,202208,,AutoARIMA,189,PowerGen,3621.2,MCHAVL
partC,202209,,AutoARIMA,141,PowerGen,3621.2,MCHAVL
partC,202210,239,AutoARIMA,239,PowerGen,3621.2,MCHAVL
partC,202211,208,AutoARIMA,208,PowerGen,3621.2,MCHAVL
partC,202212,133,AutoARIMA,133,PowerGen,3621.2,MCHAVL
partC,202301,233,AutoARIMA,233,PowerGen,3621.2,MCHAVL
partC,202302,139,AutoARIMA,139,PowerGen,3621.2,MCHAVL
partC,202303,161,AutoARIMA,161,PowerGen,3621.2,MCHAVL
partC,202304,188,AutoARIMA,188,PowerGen,3621.2,MCHAVL
partC,202305,110,AutoARIMA,110,PowerGen,3621.2,MCHAVL
partC,202306,151,AutoARIMA,151,PowerGen,3621.2,MCHAVL
partC,202307,189,AutoARIMA,155,PowerGen,3621.2,MCHAVL
partC,202308,189,AutoARIMA,103,PowerGen,3621.2,MCHAVL
partC,202309,141,AutoARIMA,126,PowerGen,3621.2,MCHAVL
partC,202310,239,AutoARIMA,238,PowerGen,3621.2,MCHAVL
partC,202311,208,AutoARIMA,165,PowerGen,3621.2,MCHAVL
partC,202312,133,AutoARIMA,184,PowerGen,3621.2,MCHAVL
partC,202401,233,AutoARIMA,212,PowerGen,3621.2,MCHAVL
partC,202402,139,AutoARIMA,141,PowerGen,3621.2,MCHAVL
partC,202403,161,AutoARIMA,154,PowerGen,3621.2,MCHAVL
partC,202404,188,AutoARIMA,176,PowerGen,3621.2,MCHAVL
partC,202405,110,AutoARIMA,115,PowerGen,3621.2,MCHAVL
partC,202406,151,AutoARIMA,103,PowerGen,3621.2,MCHAVL
partC,202407,155,AutoARIMA,163,PowerGen,3621.2,MCHAVL
partC,202408,103,AutoARIMA,151,PowerGen,3621.2,MCHAVL
partC,202409,126,AutoARIMA,160,PowerGen,3621.2,MCHAVL
partC,202410,238,AutoARIMA,209,PowerGen,3621.2,MCHAVL
partC,202411,165,AutoARIMA,174,PowerGen,3621.2,MCHAVL
partC,202412,184,AutoARIMA,203,PowerGen,3621.2,MCHAVL
partC,202501,212,AutoARIMA,226,PowerGen,3621.2,MCHAVL
partC,202502,141,AutoARIMA,207,PowerGen,3621.2,MCHAVL
partC,202503,154,AutoARIMA,173,PowerGen,3621.2,MCHAVL
partC,202504,176,AutoARIMA,174,PowerGen,3621.2,MCHAVL
partC,202505,115,AutoARIMA,110,PowerGen,3621.2,MCHAVL
partC,202506,103,AutoARIMA,108,PowerGen,3621.2,MCHAVL
partC,202507,163,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202508,151,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202509,160,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202510,209,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202511,174,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202512,203,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202601,226,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202602,207,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202603,173,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202604,174,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202605,110,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202606,108,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202607,163,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202608,151,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202609,160,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202610,209,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202611,174,AutoARIMA,,PowerGen,3621.2,MCHAVL
partC,202612,203,AutoARIMA,,PowerGen,3621.2,MCHAVL
